index,answer
index_0,20.75225285715264
index_1,29.788213171811513
index_2,16.288008136917487
index_3,19.585491673553445
index_4,29.703097499338572
index_5,29.35922011885528
index_6,16.996073643567463
index_7,23.428305428723487
index_8,36.694700555261214
index_9,11.65883190447475
index_10,29.897846608172447
index_11,24.712383071816845
index_12,31.973031251027063
index_13,19.734407260162524
index_14,15.815388676299463
index_15,40.187084950861276
index_16,35.43238227194751
index_17,8.573501790813076
index_18,11.942326898394926
index_19,19.44558553096329
index_20,26.008231262568604
index_21,9.705727129552685
index_22,6.447557170087977
index_23,13.763091709552906
index_24,23.807342808693605
index_25,23.483641658675914
index_26,14.968751217834336
index_27,33.79209568231203
index_28,24.646876487617003
index_29,19.236535684706006
index_30,10.05484836445019
index_31,13.762353117820934
index_32,28.84555979702237
index_33,6.442170173529048
index_34,7.54202594861332
index_35,11.045332083727473
index_36,10.93433710398169
index_37,18.62362572633731
index_38,12.039991770046532
index_39,7.280414641134413
index_40,15.180326889889082
index_41,10.549640549078712
index_42,9.184256267626832
index_43,9.467903383526068
index_44,12.41432199169279
index_45,10.658374900279608
index_46,7.526153166421814
index_47,5.123693390966174
index_48,6.189247226792686
index_49,7.969152415497548
index_50,1.9934350229420448
index_51,3.9698878717278157
index_52,3.526849664125327
index_53,5.468650098541456
index_54,7.659110259648549
index_55,4.655716673241195
index_56,5.2780481866193
index_57,2.2153195171844824
index_58,7.270835719481156
index_59,11.01837079505218
index_60,11.553768509211888
index_61,7.316627314211943
index_62,9.27528335808318
index_63,2.089818406158385
index_64,8.107238819359132
index_65,14.20200413900305
index_66,5.127786933790159
index_67,12.00744314356233
index_68,9.462805761691794
index_69,4.9358350972105995
index_70,5.278193349882134
index_71,12.994020681936231
index_72,15.174561374416797
index_73,8.502535831269993
index_74,8.79341698238317
index_75,6.011566562324825
index_76,10.667468153716221
index_77,9.65024074420819
index_78,17.28964127821975
index_79,22.399161754751177
index_80,32.996328866449616
index_81,22.382849083443446
index_82,20.245015423760332
index_83,13.949729200215264
index_84,14.143080714691878
index_85,7.748410328465865
index_86,-16.26931430508216
index_87,13.550689673499187
index_88,13.17163337842412
index_89,9.563854918891957
index_90,17.221984769734057
index_91,17.87122959594914
index_92,7.598982737540367
index_93,5.943258646461874
index_94,14.539340393258849
index_95,5.1159859485740125
index_96,11.288782195701918
index_97,5.216652981896263
index_98,8.076767292135958
index_99,9.746204208850829
index_100,11.233529498704225
index_101,10.39273914909473
index_102,11.9088556263945
index_103,18.223877683105975
index_104,9.495146243070135
index_105,15.211425452038037
index_106,13.931618809944865
index_107,12.756437720319033
index_108,8.201726982600732
index_109,13.898059697271835
index_110,5.3503757489616675
index_111,8.351495085637259
index_112,6.094492328503751
index_113,31.45278124938
index_114,6.539159834680968
index_115,18.291375647314812
index_116,18.603199507311608
index_117,15.380090164444981
index_118,6.833128008253412
index_119,12.428386861386034
index_120,7.769394481268091
index_121,17.220430812679467
index_122,27.007474284296073
index_123,18.76374361159741
index_124,39.67556994408003
index_125,14.347106712339237
index_126,13.601426120747586
index_127,19.37004596833695
index_128,33.39399130534728
index_129,13.146471047725345
index_130,12.874943738975283
index_131,14.702870586999955
index_132,11.210193793547715
index_133,28.0407011080519
index_134,38.420376088171686
index_135,43.39327893497695
index_136,17.28696588860153
index_137,15.059712515605739
index_138,21.950763810481444
index_139,37.416142601344234
index_140,10.16721397949325
index_141,10.526710409587183
index_142,23.69078539510404
index_143,32.74071076763944
index_144,15.13318334263773
index_145,24.182934377063702
index_146,12.592479338150174
index_147,29.119954009380404
index_148,22.54790146640898
index_149,33.99473598955437
index_150,40.55656756120582
index_151,20.048150226987218
index_152,29.017429082016392
index_153,11.695859125173298
index_154,3.2776099311413422
index_155,16.11766918797392
index_156,7.941181084264598
index_157,10.38669730025715
index_158,6.376480914403008
index_159,13.056259761576008
