index,answer
index_0,23.34375642454047
index_1,32.09324929326294
index_2,18.81198427896646
index_3,18.219732187913905
index_4,24.97376063713365
index_5,28.609906109549243
index_6,16.710816935578716
index_7,20.59661843731525
index_8,32.39511221291646
index_9,12.819523412321816
index_10,27.192181716894645
index_11,24.189362988271796
index_12,31.128372284257278
index_13,24.31699305313604
index_14,18.64414384324147
index_15,42.37361603417603
index_16,36.81629813313719
index_17,8.456915782562556
index_18,11.194246899485867
index_19,14.027416400389978
index_20,25.413289620976204
index_21,10.69918538801262
index_22,7.534022054317682
index_23,15.735259068582563
index_24,19.49305550250186
index_25,25.081719849265923
index_26,19.40099437352794
index_27,30.748750548818922
index_28,21.9006766786355
index_29,23.921850063892794
index_30,11.815060051844554
index_31,14.038607869468617
index_32,23.552363403254684
index_33,9.747490105026479
index_34,8.015475827961806
index_35,11.797088626496668
index_36,10.878939199294066
index_37,17.76621465177164
index_38,15.296385794229364
index_39,7.869062792276952
index_40,12.560809161187759
index_41,10.386409135045945
index_42,11.889423886674578
index_43,10.838922015614333
index_44,11.69846721362048
index_45,12.3067751217717
index_46,8.695748873831123
index_47,6.244738452977756
index_48,5.260200311703916
index_49,7.504912806133892
index_50,3.736452277095614
index_51,5.467506029008751
index_52,6.775581911564772
index_53,6.253547982501055
index_54,8.720067181508062
index_55,5.836812331168595
index_56,5.7017256073053435
index_57,4.253598138413982
index_58,7.435385027400548
index_59,10.507654067122747
index_60,9.3778866385189
index_61,6.887932977415469
index_62,8.274540937257518
index_63,4.664712114945949
index_64,8.521109321016397
index_65,11.493004103552227
index_66,6.819285914586777
index_67,13.056632853236223
index_68,10.60294063281359
index_69,7.588840648362008
index_70,6.17323992242547
index_71,15.736679695226787
index_72,14.539892816875193
index_73,9.448715334259559
index_74,10.322719984332203
index_75,8.245510493428498
index_76,11.537690306608043
index_77,12.673200805893378
index_78,15.772990485571247
index_79,19.982079278104187
index_80,23.489161756336934
index_81,19.64965068819943
index_82,18.691371206641907
index_83,16.061256855207848
index_84,14.785201705431117
index_85,9.0728034556482
index_86,2.001117850405506
index_87,13.478636795855902
index_88,12.319451862392626
index_89,9.205228547306506
index_90,14.80834303931218
index_91,16.831266810616185
index_92,9.150673859923325
index_93,7.115372109141745
index_94,11.902571225543745
index_95,6.989500272694956
index_96,10.951227891040912
index_97,6.514007494357268
index_98,10.67897942760781
index_99,11.699630173705335
index_100,13.604457872234509
index_101,11.953178845073055
index_102,13.086207690831536
index_103,16.24231101255742
index_104,11.683135779222146
index_105,13.634792282130174
index_106,14.99586149106772
index_107,12.230610416824247
index_108,8.772993979718802
index_109,14.510696481003052
index_110,6.08895145108832
index_111,15.264829164109152
index_112,10.003730567299836
index_113,32.22539293820832
index_114,7.693064856241109
index_115,18.089812249086386
index_116,16.375528611050107
index_117,16.909465492062218
index_118,7.110556540654727
index_119,11.078456524584375
index_120,9.689187120833697
index_121,18.947814363041264
index_122,22.14717614515256
index_123,18.253746626279803
index_124,41.11808338601081
index_125,14.11793370050635
index_126,15.546035032433934
index_127,22.204078511750065
index_128,30.311533091907474
index_129,16.247087899052467
index_130,14.642853205429317
index_131,14.81458049915843
index_132,16.789575850478613
index_133,27.033101605400407
index_134,34.19922632104508
index_135,41.65889975112691
index_136,20.381268110400892
index_137,18.77143032806208
index_138,24.252558513653504
index_139,32.58674020394136
index_140,13.51255112541177
index_141,12.790740001818925
index_142,27.260422424516218
index_143,32.72377824993672
index_144,16.678769320990195
index_145,25.762823133763458
index_146,15.638594087581351
index_147,29.87924153558568
index_148,19.760726828592524
index_149,26.391164405826437
index_150,34.49394735016479
index_151,17.389780761694453
index_152,26.08410373342854
index_153,14.311512116186874
index_154,6.561352045188438
index_155,15.042128249678166
index_156,9.374033168811295
index_157,13.790326965092536
index_158,9.102192097876406
index_159,15.110190759306052
index_160,16.978494254242012
index_161,6.2549618351362115
index_162,12.584652470075504
index_163,24.40746242983793
index_164,8.473851025511772
index_165,11.656560025516317
index_166,11.77066061185734
index_167,10.830209818676202
index_168,7.892567085137232
index_169,8.452620881345508
index_170,6.31914709116544
index_171,6.972126048932264
index_172,4.880498053240313
index_173,7.478595193151182
index_174,5.898545270900568
index_175,5.244382226641564
index_176,10.397235934571974
index_177,9.038893566090477
index_178,8.76564352231198
index_179,4.934402263829901
index_180,7.145776053991436
index_181,5.944658234026637
index_182,8.019543766013323
index_183,7.536645710342486
index_184,6.395839970173819
index_185,7.560042321012052
index_186,8.298911543509536
index_187,14.856191830047301
index_188,12.680136135967118
index_189,14.801605326655974
index_190,16.887058592470066
